Paperback_ID,Paperback_Title,Material_Subject,Paperback_Author,Paperback_Publisher,Paperback_Price,Paperback_Rating,Paperback_No_of_Ratings,Paperback_URL,Image Links
1,Zero To Mastery In Python Programming,Python,"Rakesh K. Yadav, Srinivas Arukona, Mona Singh",Vei Publishing,495,3.8,210,https://amzn.in/d/5FpdS0z,https://drive.google.com/uc?id=1mXj37n4gQeqWpK2-tF2mji5HOwVhodHP 
2,Python: The Complete Reference,Python,Martin C. Brown,McGraw Hill Education,895,4.2,629,https://amzn.in/d/aB13mvE,https://drive.google.com/uc?id=1x_wLbEscqc-6sQKD9Z1Kt3Tb27GM7O89 
3,Let Us Python,Python,Yashavant Kanetkar,BPB Publications,399,4.4,30,https://amzn.in/d/4ePDNod,https://drive.google.com/uc?id=1Jzw3IFJvK_h8WSBuTUE-JbPZIBs66JJw 
4,Python All-in-One for Dummies,Python,"John Shovic, Alan Simpson",Wiley,899,4.5,766,https://amzn.in/d/8G7YPbL,https://drive.google.com/uc?id=1Ky4FtRVRbpjF0jQu37n1Iqg2aDA4gXvQ 
5,Learning with Python,Python,"Alan Downy, Jeffrey Elkner, Chris Meyers",Dreamtech Press,399,4.1,455,https://amzn.in/d/2ToMYBx,https://drive.google.com/uc?id=1QcRKWDKhEe3N-oaleP9rvQnditR-AAvc 
6,Core Python Programming,Python,Dr. R. Nageswara Rao,Dreamtech Press,799,4.4,346,https://amzn.in/d/dfv914T,https://drive.google.com/uc?id=1xbMejNA_XkDRHp1wefi-N0DVZ_fL0Tir 
7,Python for Data Science for Dummies,Python,"John Paul Mueller, Luca Massaron",Wiley,799,4.3,220,https://amzn.in/d/17Mlcl7,https://drive.google.com/uc?id=1L43fuqueCozRplNbzj79_0nyPZztK9ty 
8,"Fluent Python: Clear, Concise, and Effective Programming",Python,Luciano Ramalho,O'Reilly,2600,4.8,420,https://amzn.in/d/9E8IJWX,https://drive.google.com/uc?id=1FeK5jK1w-xfmwK2ePY0gt_ofNq-X4RMH 
9,PYTHON: PROGRAMMING,Python,Ramsey Hamilton,Createspace Independent Pub,1149,4,8567,https://amzn.in/d/glFD649,https://drive.google.com/uc?id=1n3hnPcbfwAnzOPxCTqkn79JZ0HGWBV25 
10,Python Programming,Python,Reema Thareja,Oxford University Press,625,4.2,26,https://amzn.in/d/5lbJE1q,https://drive.google.com/uc?id=1MwXEiXL1cyma9FHWuw9ZO5N6W_xOIM0M 
11,The C Programming Language,C,"Brian W. Kernighan, Dennis Ritchie",Pearson Education India,550,4.4,3842,https://amzn.in/d/fCCx9ri,https://drive.google.com/uc?id=18jO0uUieiKltOOzv11rIqmyIANbr4La7 
12,Let Us C,C,Yashavant Kanetkar,BPB Publications,399,4.4,240,https://amzn.in/d/gmsilqL,https://drive.google.com/uc?id=1EGYSZWz4g-X6VYzO-BLGM8m-UlLVtTCb 
13,Programming In Ansi C,C,E. Balagurusamy,McGraw Hill Education,680,4.5,1363,https://amzn.in/d/6UrRX2g,https://drive.google.com/uc?id=1-hUkMZqRP_-SZctikVJElrKel5-iT6Hp 
14,PROGRAMMING IN C,C,Reema Thareja,Oxford University Press,730,4.5,336,https://amzn.in/d/cH6Th4F,https://drive.google.com/uc?id=10LH69JoyJKrnzyNXW9HqMbDo6n7th2T2 
15,C Programming Language,C,Darrel L. Graham,Createspace Independent Pub,1050,4,5166,https://amzn.in/d/2F7kufB,https://drive.google.com/uc?id=1eJnVwc8l7wK0vsMPJ4mZs3YWx2PZkG9s 
16,Computing Fundamentals And C Programming,C,E. Balagurusamy,McGraw Hill Education,730,4.5,195,https://amzn.in/d/hjlJhks,https://drive.google.com/uc?id=1kSjTIaee5TNm0lLXt4jzobrzG7ccn9ft 
17,C: THE COMPLETE REFERENCE,C,Herbert Schildt,McGraw Hill Education,950,4.4,419,https://amzn.in/d/eBBhTRK,https://drive.google.com/uc?id=18KXYjvQeBJJ9zylHIlLjkqJe6RaMnM4s 
18,A Textbook of Basics of C Programming,C,Vikash Kumar Gupta,Khanna Publishers,99,5,2,https://amzn.in/d/50Lhw1X,https://drive.google.com/uc?id=1z4HBm9lsNoXUGV-Na5au-jWL2PMPzu5d 
19,Advance C Programming,C,"Gajana Deshmukh, Mrs. Archana Kothawade",Nirali Prakashan,150,4,1,https://amzn.in/d/9zpKlnG,https://drive.google.com/uc?id=1DhRZOjIGQSxZSIlhxGe5-HYQFkpYI25l 
20,C Programming for Beginners,C,iCode Academy,iCode Academy,2242,4,416,https://amzn.in/d/ga4OBB1,https://drive.google.com/uc?id=1LCAPoNHcZSdz0D2EV6ny_-Y1uESQ-vnb 
21,Programming with Java,Java,E. Balagurusamy,McGraw Hill Education,750,4,12,https://amzn.in/d/992HHxR,https://drive.google.com/uc?id=1I_naTO6QWv5oy9PmJ5xEag_RIVO6xK0s 
22,Head First Java,Java,"Kathy Sierra, Beret Bates, Trisha Gee",O'Reilly,1850,4.6,378,https://amzn.in/d/8otPBpl,https://drive.google.com/uc?id=1kLgfIkUmj72dv7SBHVXdk-FYM6SAm4mc 
23,Java: The Complete Reference,Java,Herbert Schildt,McGraw Hill Education,1750,4.6,305,https://amzn.in/d/5EUz0Sz,https://drive.google.com/uc?id=1HAJEacZ6DpsF-HDUds5zTjNEDQHk6KYB 
24,Core Java: An Integrated Approach,Java,Dr. R. Nageswara Rao,Dreamtech Press,749,4.5,1398,https://amzn.in/d/bMMFyvF,https://drive.google.com/uc?id=1echs-4feFx8Mb1NJTfevMpZ0F9lKScLO 
25,Java: Programming Basics for Absolute Beginners,Java,Nathan Clark,Nathan Clark,249,4.1,341,https://amzn.in/d/04S4QmS,https://drive.google.com/uc?id=1bTaxaQ5v-Tpwwbxx01fnQ8H4kThMSwZg 
26,Object Oriented Programming with Java,Java,"M.T. Somakshekara, D.S. Guru, K.S. Manjunatha",PHI Learning,595,4.8,18,https://amzn.in/d/ev6Qr76,https://drive.google.com/uc?id=1k9y9SQGN4K-9aBrJiMwZVlBEbpYzt_yG 
27,Let Us Java,Java,Yashavant Kanetkar,BPB Publications,450,4.1,27,https://amzn.in/d/cpIJyQD,https://drive.google.com/uc?id=1z4MQ0vjxNK1vCk43-EzI_bC2Qu8Amlyi 
28,Intro To Java Programming,Java,Y. Daniel Liang,Pearson Education India,1553,4.3,234,https://amzn.in/d/aARbGBK,https://drive.google.com/uc?id=1OlPRZyNFWnoUnyQyXzWUWIBgYX7WU8P6 
29,Hands-On Machine Learning ,AIML,Aurélien Géron,O'Reilly,3250,4.6,144,https://amzn.in/d/foQS1X5,https://drive.google.com/uc?id=1SAqIvbIhcR2VwXmhW27KyWhlgYY6R-d6 
30,The Hundred-Page Machine Learning Book,AIML,Andriy Burkov,Andriy Burkov,3200,4.5,1145,https://amzn.in/d/8J1jYO8,https://drive.google.com/uc?id=1_O5-mNNBNT43KjxYkUhKuTAe1XdYiCt1 
31,Designing Machine Learning Systems,AIML,Chip Huyen,O'Reilly,1600,4.6,527,https://amzn.in/d/0JnFP9P,https://drive.google.com/uc?id=1_T1cBva0g5I9nGpOWJjlj7Xdi1PDRBOE 
32,Introduction to Machine Learning with Python,AIML,"Andreas C. Muller, Sarah Guido",O'Reilly,1300,4.4,685,https://amzn.in/d/0sWJKsT,https://drive.google.com/uc?id=1RGEWibB_COmR4AQ_P7fSeKxajKre8bC_ 
33,Machine Learning for Absolute Beginners,AIML,Oliver Theobald,Scatterplot Press,1280,4.4,331,https://amzn.in/d/394lqPR,https://drive.google.com/uc?id=1Vxw9vDQxKQcW-qA5Ie7VNC3RIqYnnEfW 
34,AI and Machine Learning for Coders,AIML,Lawrence Moroney,O'Reilly,1500,4.5,252,https://amzn.in/d/8oTmYTF,https://drive.google.com/uc?id=1bMYd1phdYMc3CLBn3xYwy3d0qYQBykL_ 
35,Understanding Machine Learning: From Theory To Algorithms,AIML,"Shai Shalev Shwartz, Shai Ben-David",Cambridge University Press,1195,4.4,261,https://amzn.in/d/3exEiIj,https://drive.google.com/uc?id=1YUNUF6ONJjyt2MlqTGvmCIrgs2CVAq_A 
36,Data Science and Machine Learning using Python,AIML,Reema Thareja,McGraw Hill Education,750,4.2,58,https://amzn.in/d/irbruzC,https://drive.google.com/uc?id=1Fb1kMFrFk5geCtwoveFttzBP6qs94hQw 
37,Machine Learning with PyTorch and Scikit-Learn,AIML,"Sebastian Raschka, Yuxi Liu, Vahid Mirjalili",Packt Publishing,2000,4.5,264,https://amzn.in/d/14gWwNy,https://drive.google.com/uc?id=1Ptj742fV9G0CXS04n3HjhldMtvIYVVd- 
38,Practical Statistics for Data Scientists,Data Science,"Peter Bruce, Andrew Bruce, Peter Gedeck",O'Reilly,1475,4.5,996,https://amzn.in/d/dEJAv5G,https://drive.google.com/uc?id=1PcUAEpt2Jlkc85R08WkcKMhEo1pVFRec 
39,Data Science From Scratch,Data Science,Joel Grus,O'Reilly,1575,4.4,852,https://amzn.in/d/084037M,https://drive.google.com/uc?id=1ui0cUaALljNoOeO4FIY0dNsQr9A34xCD 
40,Data Science: A Beginner's Guide,Data Science,C. Raju,Penguin,399,4.4,16,https://amzn.in/d/3Mu0X8h,https://drive.google.com/uc?id=1jJMIOPHzLoD-b5DOhZLxziMqksdpWn6I 
41,DATA SCIENCE ,Data Science,"John D. Kelleher, Brendan Tierney",The MIT Press,1300,4.5,528,https://amzn.in/d/iHplMMi,https://drive.google.com/uc?id=1tdFxV5FExQQuxkckeE-Q7WOiLHP3L2_I 
42,Python for Data Science for Dummies,Data Science,"John Paul Mueller, Luca Massaron",Wiley,799,4.3,353.41,https://amzn.in/d/1CQIcpO,https://drive.google.com/uc?id=1L43fuqueCozRplNbzj79_0nyPZztK9ty 
