Course_ID,Course_Title,Course_Subject,Offered_By,Course_Price,Course_Rating,Course_No_of_Ratings,Course_No_of_Languages_Available,Course_Languages,Course_No_of_People_Enrolled,Course_URL
1,Python Programming Fundamentals,Python,Duke University,2404,3.3,18,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",12093,https://www.coursera.org/learn/python-programming-fundamentals
2,Programming in Python,Python,Meta,4874,4.6,1304,20,"English, German, Hindi, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish",82315,https://www.coursera.org/learn/programming-in-python
3,Python for Everybody (Getting Started with Python),Python,University of Michigan,2708,4.8,226608,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",3071427,https://www.coursera.org/learn/python?specialization=python
4,Crash Course on Python,Python,Google,3979,4.8,36022,8,"English, Arabic, German, Vietnamese, Russian, Korean, Italian, French, Spanish",1053262,https://www.coursera.org/learn/python-crash-course
5,"Python for Data Science, AI & Development",Python,IBM,2414,4.6,35471,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",818341,https://www.coursera.org/learn/python-for-applied-data-science-ai
6,C Programming: Getting Started - 1,C,Dartmouth,2155,4.6,193,21,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",14074,https://www.coursera.org/learn/c-programming-getting-started
7,Programming in C,C,University of Michigan,8124,4.8,16,1,English ,2226,https://www.coursera.org/learn/programming-c
8,"Writing, Running, and Fixing Code in C",C,Duke University,2404,4.3,777,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",59760,https://www.coursera.org/learn/writing-running-fixing-code?specialization=c-programming
9,"Pointers, Arrays, and Recursion",C,Duke University,2404,4.4,335,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",42830,https://www.coursera.org/learn/pointers-arrays-recursion?specialization=c-programming
10,C for Everyone: Programming Fundamentals,C,UC Santa Cruz,2708,4.5,6308,21,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",284878,https://www.coursera.org/learn/c-for-everyone
11,C for Everyone: Structured Programming,C,UC Santa Cruz,2708,4.6,725,21,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",63370,https://www.coursera.org/learn/c-structured-programming?specialization=coding-for-everyone
12,Java Programming: Solving Problems with Software,Java,Duke University,2404,4.6,7860,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",375546,https://www.coursera.org/learn/java-programming?specialization=java-programming
13,"Java Programming: Arrays, Lists, and Structured Data",Java,Duke University,2404,4.7,3126,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",156821,https://www.coursera.org/learn/java-programming-arrays-lists-data?specialization=java-programming
14,Object Oriented Programming in Java,Java,UC San Diego,2708,4.7,5725,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",289917,https://www.coursera.org/learn/object-oriented-java?specialization=object-oriented-programming
15,Introduction to Java,Java,Learn Quest,2155,4.6,1781,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",89478,https://www.coursera.org/learn/java-introduction
16,Java Class Library,Java,Learn Quest,2155,4.7,133,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",15237,https://www.coursera.org/learn/java-class-library?specialization=core-java
17,Introduction to Object-Oriented Programming with Java,Java,Learn Quest,2155,4.7,434,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",34217,https://www.coursera.org/learn/object-oriented-programming-with-java?specialization=core-java
18,Object-Oriented Hierarchies in Java,Java,Learn Quest,2155,4.7,160,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",15540,https://www.coursera.org/learn/object-oriented-hierarchies-java?specialization=core-java
19,Java Programming: Solving Problems with Software,Java,Duke University,2031,4.6,7860,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",375546,https://www.coursera.org/learn/java-programming
20,Machine Learning for All,AIML,University of London,2404,4.7,3350,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",169081,https://www.coursera.org/learn/uol-machine-learning-for-all
21,Introduction to Generative AI,AIML,Google Cloud,2404,4.6,4066,11,"English, Arabic, German, Hindi, Korean, Japanese, Portuguese (Brazil), Indonesian, French, Spanish, Chinese (Simplified)",301574,https://www.coursera.org/learn/introduction-to-generative-ai
22,AI For Everyone,AIML,DeepLearning.AI,2404,4.8,40670,21,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish",1265135,https://www.coursera.org/learn/ai-for-everyone
23,Introduction to Artificial Intelligence (AI),AIML,IBM,2708,4.7,12784,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",340761,https://www.coursera.org/learn/introduction-to-ai
24,Supervised Machine Learning: Regression and Classification,AIML,"Stanford, DeepLearning.AI",2708,4.9,18724,21,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish",613998,https://www.coursera.org/learn/machine-learning?specialization=machine-learning-introduction
25,Advanced Learning Algorithms,AIML,"Stanford, DeepLearning.AI",2708,4.9,5152,21,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish",234081,https://www.coursera.org/learn/advanced-learning-algorithms?specialization=machine-learning-introduction
26,"Unsupervised Learning, Recommenders, Reinforcement Learning",AIML,"Stanford, DeepLearning.AI",2708,2.9,2652,21,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish",177575,https://www.coursera.org/learn/unsupervised-learning-recommenders-reinforcement-learning?specialization=machine-learning-introduction
27,What is Data Science?,Data Science,IBM,2414,4.7,68288,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",955638,https://www.coursera.org/learn/what-is-datascience
28,Data Science Math Skills,Data Science,Duke University,2404,4.5,11705,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",453265,https://www.coursera.org/learn/datasciencemathskills
29,Foundations of Data Science,Data Science,Google,1326,4.7,1747,1,English,121127,https://www.coursera.org/learn/foundations-of-data-science
30,Data Science Methodology,Data Science,IBM,2414,4.6,19970,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",289787,https://www.coursera.org/learn/data-science-methodology
31,Introduction to Data Science in Python,Data Science,University of Michigan,2708,4.5,26918,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",775408,https://www.coursera.org/learn/python-data-analysis
32,Data Structures and Algorithms Specialization,DSA,UC San Diego,4366,4.6,13087,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",333923,https://www.coursera.org/specializations/data-structures-algorithms
33,"Algorithms, Part I",DSA,Princeton University,2404,4.9,11173,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",1267151,https://www.coursera.org/learn/algorithms-part1?allowOnboardingRedirect=true&courseSlug=algorithms-part1&showOnboardingModal=check
34,Algorithms Specialization,DSA,Stanford,4062,4.8,5549,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",115657,https://www.coursera.org/specializations/algorithms
35,Data Structures,DSA,UC San Diego,4366,4.6,5357,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",271756,https://www.coursera.org/learn/data-structures
36,"Algorithms, Part II",DSA,Princeton University,2404,4.9,1959,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",312610,https://www.coursera.org/learn/algorithms-part2
37,Introduction to Computer Vision and Image Processing,Image Processing,IBM,2708,4.3,1111,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",72022,https://www.coursera.org/learn/introduction-computer-vision-watson-opencv
38,Image Processing for Engineering and Science Specialization,Image Processing,MathWorks,2708,4.8,108,21,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",6209,https://www.coursera.org/specializations/image-processing
39,Fundamentals of Digital Image and Video Processing,Image Processing,Northwestern,2404,4.6,1719,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",136257,https://www.coursera.org/learn/digital
40,Introduction to Image Processing,Image Processing,MathWorks,1617,4.8,104,21,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",10889,https://www.coursera.org/learn/introduction-image-processing
41,"Image Segmentation, Filtering, and Region Analysis",Image Processing,MathWorks,1617,4.8,30,21,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",4334,https://www.coursera.org/learn/image-segmentation
42,Introduction to Calculus,Calculus,The University of Sydney,2404,4.8,3534,1,English,229750,https://www.coursera.org/learn/introduction-to-calculus
43,Calculus: Single Variable Part 1 - Functions,Calculus,University of Pennsylvania,2404,4.7,2116,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",137168,https://www.coursera.org/learn/single-variable-calculus
44,Calculus for Machine Learning and Data Science,Calculus,DeepLearning.AI,2708,4.8,574,22,"English, German, Hindi, Russian, Swedish, Korean, Greek, Portuguese (Brazil), Italian, French, Hungarian, Spanish, Chinese (Simplified), Arabic, Thai, Ukrainian, Japanese, Indonesian, Polish, Dutch, Turkish, Kazakh",44934,https://www.coursera.org/learn/machine-learning-calculus
