Ebook_ID,Ebook_Title,Material_Subject,Ebook_Author,Ebook_Price,Ebook_Rating,Ebook_No_Of_Rating,Ebook_URL,Image Link
1,Learning with Python,Python,"Alan Downy, Jeffrey Elkner, Chris Meyers",356.11,4.1,455,https://amzn.in/d/0jYuLV6,https://drive.google.com/uc?id=1QcRKWDKhEe3N-oaleP9rvQnditR-AAvc 
2,Python for Data Science for Dummies,Python,"John Paul Mueller, Luca Massaron",628.95,4.3,220,https://amzn.in/d/irSfN2P,https://drive.google.com/uc?id=1L43fuqueCozRplNbzj79_0nyPZztK9ty 
3,"Fluent Python: Clear, Concise, and Effective Programming",Python,Luciano Ramalho,2470,4.8,420,https://amzn.in/d/eulgv0m,https://drive.google.com/uc?id=1FeK5jK1w-xfmwK2ePY0gt_ofNq-X4RMH 
4,PYTHON: PROGRAMMING,Python,Ramsey Hamilton,79.06,4,8567,https://amzn.in/d/ecS81EA,https://drive.google.com/uc?id=1n3hnPcbfwAnzOPxCTqkn79JZ0HGWBV25 
5,Python Programming For Beginners,Python,James Tudor,449,4.1,2512,https://amzn.in/d/3Jq4cgp,https://drive.google.com/uc?id=1bxCZQw-nQMhDKjnL5HDkGMnwMbK2SOF0
6,The C Programming Language,C,"Brian W. Kernighan, Dennis Ritchie",310,4.4,3842,https://amzn.in/d/5Hbopsw,https://drive.google.com/uc?id=18jO0uUieiKltOOzv11rIqmyIANbr4La7 
7,PROGRAMMING IN C,C,Reema Thareja,516.6,4.5,336,https://amzn.in/d/dWNpsFS,https://drive.google.com/uc?id=10LH69JoyJKrnzyNXW9HqMbDo6n7th2T2 
8,C Programming Language,C,Darrel L. Graham,77.88,4,5166,https://amzn.in/d/2F7kufB,https://drive.google.com/uc?id=1eJnVwc8l7wK0vsMPJ4mZs3YWx2PZkG9s 
9,Advance C Programming,C,"Gajana Deshmukh, Mrs. Archana Kothawade",102.9,4,1,https://amzn.in/d/9JR2FO3,https://drive.google.com/uc?id=1DhRZOjIGQSxZSIlhxGe5-HYQFkpYI25l 
10,C Programming for Beginners,C,iCode Academy,449,4,416,https://amzn.in/d/0oxefuI,https://drive.google.com/uc?id=1LCAPoNHcZSdz0D2EV6ny_-Y1uESQ-vnb 
11,Head First Java,Java,"Kathy Sierra, Beret Bates, Trisha Gee",1757.5,4.6,378,https://amzn.in/d/aFpiiD4,https://drive.google.com/uc?id=1kLgfIkUmj72dv7SBHVXdk-FYM6SAm4mc 
12,Java: The Complete Reference,Java,Herbert Schildt,2627.23,4.6,305,https://amzn.in/d/iPXKsRh,https://drive.google.com/uc?id=1HAJEacZ6DpsF-HDUds5zTjNEDQHk6KYB 
13,Core Java: An Integrated Approach,Java,Dr. R. Nageswara Rao,489.98,4.5,1398,https://amzn.in/d/4ayLNJs,https://drive.google.com/uc?id=1echs-4feFx8Mb1NJTfevMpZ0F9lKScLO 
14,Java: Programming Basics for Absolute Beginners,Java,Nathan Clark,1395,4.1,341,https://amzn.in/d/iVBQpQv,https://drive.google.com/uc?id=1bTaxaQ5v-Tpwwbxx01fnQ8H4kThMSwZg 
15,Object Oriented Programming with Java,Java,"M.T. Somakshekara, D.S. Guru, K.S. Manjunatha",351.05,4.8,18,https://amzn.in/d/4agsxyo,https://drive.google.com/uc?id=1k9y9SQGN4K-9aBrJiMwZVlBEbpYzt_yG 
16,Let Us Java,Java,Yashavant Kanetkar,335.16,4.1,27,https://amzn.in/d/2ApBnzk,https://drive.google.com/uc?id=1z4MQ0vjxNK1vCk43-EzI_bC2Qu8Amlyi 
17,Intro To Java Programming,Java,Y. Daniel Liang,1553,4.3,234,https://amzn.in/d/eLQfqSi,https://drive.google.com/uc?id=1OlPRZyNFWnoUnyQyXzWUWIBgYX7WU8P6 
